concept,language,word
night,ALBANIAN_GHEG,nat3
night,ALBANIAN,nat3
night,ALBANIAN_TOSK,nat3
full,ALBANIAN_GHEG,cit3
full,ALBANIAN,embuSurplotme
full,ALBANIAN_TOSK,plot3
new,ALBANIAN_GHEG,ri
new,ALBANIAN,iri
new,ALBANIAN_TOSK,ri
name,ALBANIAN_GHEG,em3n
name,ALBANIAN,em3r
name,ALBANIAN_TOSK,Em3r
I,ALBANIAN_GHEG,un3
I,ALBANIAN,un3
I,ALBANIAN_TOSK,un3
breast,ALBANIAN_GHEG,gji
breast,ALBANIAN,kraharor
breast,ALBANIAN_TOSK,Toks
liver,ALBANIAN_GHEG,m3lCi
liver,ALBANIAN,m3lCi
liver,ALBANIAN_TOSK,m3lCi
drink,ALBANIAN_GHEG,gyerb
drink,ALBANIAN,pirye
drink,ALBANIAN_TOSK,pi
see,ALBANIAN_GHEG,Sof
see,ALBANIAN,Soh
see,ALBANIAN_TOSK,Soh
hear,ALBANIAN_GHEG,d3gyoy
hear,ALBANIAN,d3gyoy
hear,ALBANIAN_TOSK,d3Toy
die,ALBANIAN_GHEG,vdes
die,ALBANIAN,vdes
die,ALBANIAN_TOSK,vdEs
come,ALBANIAN_GHEG,yak3
come,ALBANIAN,viy
come,ALBANIAN_TOSK,viy
tooth,ALBANIAN_GHEG,dhamb
tooth,ALBANIAN,8Emb
tooth,ALBANIAN_TOSK,83mb
tongue,ALBANIAN_GHEG,gyuh3
tongue,ALBANIAN,Tuh3
tongue,ALBANIAN_TOSK,Tuh3
knee,ALBANIAN_GHEG,gyu
knee,ALBANIAN,Tu
knee,ALBANIAN_TOSK,Tu
hand,ALBANIAN_GHEG,dor3
hand,ALBANIAN,dor3
hand,ALBANIAN_TOSK,dor3
ear,ALBANIAN_GHEG,veS
ear,ALBANIAN,veS
ear,ALBANIAN_TOSK,vES
eye,ALBANIAN_GHEG,sy
eye,ALBANIAN,si
eye,ALBANIAN_TOSK,si
nose,ALBANIAN_GHEG,hund3
nose,ALBANIAN,hund3
nose,ALBANIAN_TOSK,hund3
sun,ALBANIAN_GHEG,dieL
sun,ALBANIAN,dyell
sun,ALBANIAN_TOSK,diEL
star,ALBANIAN_GHEG,iL
star,ALBANIAN,ill
star,ALBANIAN_TOSK,uL
skin,ALBANIAN_GHEG,l3kur3
skin,ALBANIAN,l3kur3
skin,ALBANIAN_TOSK,l3kur3
blood,ALBANIAN_GHEG,gyak
blood,ALBANIAN,Tak
blood,ALBANIAN_TOSK,TEk
bone,ALBANIAN_GHEG,aSt
bone,ALBANIAN,aSt
bone,ALBANIAN_TOSK,aSt
horn,ALBANIAN_GHEG,bri
horn,ALBANIAN,bri
horn,ALBANIAN_TOSK,bri
water,ALBANIAN_GHEG,uy3
water,ALBANIAN,uj3
water,ALBANIAN_TOSK,uy3
stone,ALBANIAN_GHEG,gur
stone,ALBANIAN,gur
stone,ALBANIAN_TOSK,gur
fire,ALBANIAN_GHEG,zyarm
fire,ALBANIAN,ndez
fire,ALBANIAN_TOSK,zyar
fish,ALBANIAN_GHEG,peSk
fish,ALBANIAN,peSk
fish,ALBANIAN_TOSK,pESk
dog,ALBANIAN_GHEG,qen
dog,ALBANIAN,Ten
dog,ALBANIAN_TOSK,TEn
louse,ALBANIAN_GHEG,mor
louse,ALBANIAN,morr
louse,ALBANIAN_TOSK,mor
tree,ALBANIAN_GHEG,dru
tree,ALBANIAN,dru
tree,ALBANIAN_TOSK,pEm3
leaf,ALBANIAN_GHEG,flet3
leaf,ALBANIAN,Tethe
leaf,ALBANIAN_TOSK,flEt3
path,ALBANIAN_GHEG,kap8
path,ALBANIAN,Steg
path,ALBANIAN_TOSK,StEg
mountain,ALBANIAN_GHEG,mal
mountain,ALBANIAN,mal
mountain,ALBANIAN_TOSK,mal
one,ALBANIAN_GHEG,nyi
one,ALBANIAN,Ne
one,ALBANIAN_TOSK,53
two,ALBANIAN_GHEG,di
two,ALBANIAN,di
two,ALBANIAN_TOSK,du
person,ALBANIAN_GHEG,5eri
person,ALBANIAN,vet3
person,ALBANIAN_TOSK,vEt3
we,ALBANIAN_GHEG,ne
we,ALBANIAN,ne
we,ALBANIAN_TOSK,nE
you,ALBANIAN_GHEG,yu
you,ALBANIAN,ju
you,ALBANIAN_TOSK,ti
